Unique-id,namea,OffTask,Avgright,Avgbug,Avghelp,Avgchoice,Avgstring,Avgnumber,Avgpoint,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avghelppct-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avgrecent8help,Avg recent5wrong,Avgmanywrong-up,AvgasymptoteA-up,AvgasymptoteB-up,right,bug,pknow-1,Pknow-2,pchange,time,timeSDnormed,timelast3SDnormed,timelast5SDnormed,notright,howmanywrong-up,wrongpct-up,timeperact-up,Prev3Count-up,Prev5Count-up, recent5wrong,manywrong-up,Behaviour,Pchange_so_far,right_so_far,pknow-1_right,Pknow-2_right,pct_wrong,tsd_wrong,conuts-prev3,conuts-prev5,tsd_prev3,tsd_prev5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,1,0,0.888286674,0.888286674,0,12,0.321982151,0.174936693,0.87893816,0,0,0,12.0,0,0,1,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,1,0,0.888286674,0.888286674,0,7,-0.157333333,-1.549011507,0.0,0,0,0,7.0,0,0,0,0,ON TASK,0,0,0.888286674,0.888286674,0.0,-0.0,0,0,-0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,1,0,0.888286674,0.888286674,0,72,1.996039842,-1.82997787,-2.434059502,0,0,0,72.0,0,0,1,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0,0.735153049,0.735153049,0,3,-0.25778781,-1.776982649,-3.071275583,1,1,1,2.5,0,0,0,0,ON TASK,0,1,0.0,0.0,0.9900990099009901,-0.25778781,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,1,0,0.988464307,0.988464307,0,8,-0.335051546,-1.768027276,-2.964112993,0,0,0,10.5,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0.0,0,0,0,0,0,0.0,13.0,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0,0.5,14.5,0.0,0.0,0,0.0,0.0,0,0,0,0,0.28609832,0.28609832,0,19,0.55362776,-0.027491645,-0.887074419,1,1,1,19.0,0,0,0,0,ON TASK,0,1,0.0,0.0,0.9900990099009901,0.55362776,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-22,stuZxoxmpe,N,0.0,0.0,0,0,0,0,0,1.0,34.0,2.476222826,1.084494213,-0.021619918,1.0,37.0,0,27.0,6.75,2.0,4.0,0,3.0,1.0,0,0,0,0,-1.0,0.735153049,1,34,2.476222826,1.084494213,-0.021619918,1,37,27,6.75,2,4,3,1,ON TASK,1,1,-0.0,0.0,0.7295325587679006,66.858016302,2,4,2.168988426,-0.086479672
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,1,0,0.988464307,0.988464307,0,11,0.089980855,-2.027748625,-2.112597109,0,0,0,13.5,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0.0,0.5,0,0.0,9.25,0.5,0.5,0,1.0,0.0,0,0,1,0,-1.0,0.888286674,1,29,3.924086992,1.484424147,1.605661654,0,1,0,14.5,1,1,1,0,ON TASK,1,0,-1.0,0.888286674,0.0,0.0,1,1,1.484424147,1.605661654
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-27,stuZkagkh6,N,1.0,0.0,0,0,0,0,0,0.0,9.0,-0.210558033,-1.152812621,-1.879696446,0.0,0.0,0,0.0,12.0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.988464307,0.988464307,0,9,-0.210558033,-1.152812621,-1.879696446,0,0,0,12.0,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-3,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,1.0,15.0,-0.039648652,-0.785438503,-1.464871936,0.0,1.0,0,0.0,15.0,1.0,1.0,0,1.0,0.0,0,0,1,0,-1.0,0.28609832,1,15,-0.039648652,-0.785438503,-1.464871936,0,1,0,15.0,1,1,1,0,ON TASK,1,0,-1.0,0.28609832,0.0,-0.0,1,1,-0.785438503,-1.464871936
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,1,0,0.96776108,0.96776108,0,10,0.179128673,-1.966356127,0.053344177,0,0,0,19.25,0,0,0,0,ON TASK,0,0,0.96776108,0.96776108,0.0,0.0,0,0,-0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-32,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,18.0,-0.482246078,-0.967846968,-1.94924533,0.0,0.0,0,0.0,18.0,0.0,0.0,0,2.0,0.0,0,0,1,0,0.888286674,0.888286674,0,18,-0.482246078,-0.967846968,-1.94924533,0,0,0,18.0,0,0,2,0,ON TASK,0,0,0.888286674,0.888286674,0.0,-0.0,0,0,-0.0,-0.0
